Name,Code,Definition
Music,MUS,Music only (as in an instrumental work or a wordless chorus without text e.g. Daphnis and Cloe).
Music and Text,MTX,"Music and text combined (as in a vocal and instrumental work such as the musical JESUS CHRIST SUPERSTAR), where both contributions were specifically created for the respective musical composition with words."
Text,TXT,Text only.
Music and Text (separate creation),MTN,"Music and text combined (as in a vocal and instrumental work such as an opera), where both contributions were not specifically created for the respective musical composition with words (as in the musical CATS)."
