Name,Code,Definition
Acquirer,AQ,"A publisher that acquires some or all of the ownership from an Original Publisher, but yet the Original Publisher still controls the work."
Administrator,AM,An interested party that collects royalty payments on behalf of a publisher that it represents.
Income Participant,PA,A person or corporation that receives royalty payments for a work but is not a copyright owner.
Original Publisher,E,The interested party which has acquired by agreement with a composer and/or author rights in one or more works for a stipulated territory and duration.
Substituted Publisher,ES,A publisher acting on behalf of publisher or sub- publisher.
Sub Publisher,SE,The interested party which has acquired by agreement with a publisher rights in one or more works for a stipulated territory and duration.
