Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
Reverb Music Ltd,RML,,162297367,24/05/2013,
Rhythmic Skeleton Music,RHY,,498059502,03/11/2015,
Ricordi E C Spa,BRM,,578365994,04/01/2010,
Rmw Songs,RMW,,574615824,29/04/2010,
Roba Music Verlag Gmbh,RO,,68384445,17/05/2010,
Rolf Budde Musikverlag Gmbh,BUD,,249626636,04/10/2010,
ROMS,228,Russian Federation,,,
Rossio Music Publishing Lda,ROS,,572132960,04/07/2011,
Round Hill Works,RHM,,645971216,10/08/2016,
Routenote Limited,RNL,,730576446,19/02/2014,
Royal Flame Music Gmbh,104,,585500247,21/08/2015,
Ruminating Music,WIX,,719510938,17/03/2015,
RUPIS,160,Belarus,,,
S A T V Publishing Ltd,STV,,135766360,19/03/2013,
SABAM,55,Belgium,,,
SABEM,199,Brazil,,,
SACD,56,France,,,
SACEM,58,France,,,
SACEMLUXEMBOURG,233,Luxembourg,,,
SACENC,235,France,,,
SACERAU,57,Egypt,,,
SACK,200,Korea Republic Of,,,
SACM,59,Mexico,,,
SACVEN,60,Venezuela,,,
SADA,131,Greece,,,
SADAIC,61,Argentina,,,
SADEMBRA,62,Brazil,,,
SADH,135,Greece,,,
SAIF,225,France,,,
SAMRO,63,South Africa,,,
SANCTUARY MUSIC PUBLISHING LIMITED,SM,,289941012,09/08/2004,
SAREGAMA PLC,SGM,,291934146,16/06/2003,
SARRAL,81,South Africa,,,
SARTEC,201,Canada,,,
SAS,202,Georgia,,,
Sauter Dr Musikverlag Gmbh,DRS,,494997866,09/08/2011,
Savile Row Publishing Bv,SRP,,820063091,29/11/2016,
SAYCE,65,Ecuador,,,
SAYCO,84,Columbia,,,
SAZAS,112,Slovenia,,,
SBACEM,66,Brazil,,,
SBAT,67,Brazil,,,
SCAM,73,France,,,
Scandinavian Songs Ab,SCS,,138375361,31/05/2011,
SCD,29,Chile,,,
Schacht Music U S Inc,SLM,,199123447,,
Schedler Music Publishing Usa,SMU,,765256712,05/03/2015,
Schedler Rudi Musikverlag Gmbh,RSM,,469343818,12/03/2012,
SCHOTT MUSIC CORPORATION,SH,,67933052,26/01/2009,
Schubert Andreas Musikverlag,SMP,,585957483,04/01/2010,
Schubert Music Europe GmbH,SMP,,691781309,24/11/2014,
Schubert Music Publishing,SMP,,492408541,04/01/2010,
Schubert Music Publishing,SMP,,677646884,24/06/2013,
Schubert Music Publishing Eood,SMP,,473519929,04/01/2010,
Schubert Music Publishing Gmbh,SMP,,634780238,17/07/2012,
Schubert Music Publishing Kft,SMP,,438038065,04/01/2010,
Schubert Music Publishing Limited,SMP,,681226448,01/10/2012,
Schubert Music Publishing S L,SMP,,671417838,24/06/2013,
Schubert Music Publishing S R O,SMP,,468225537,04/01/2010,
Schubert Music Publishing Sp Z OO,SMP,,433259466,04/01/2010,
Schwartz And Sons,SAS,,738397890,03/11/2015,
SCION ARCTIC MUSIC,MLG,,594587882,07/08/2014,
SCION FIVE MUSIC,MLG,,582114857,07/08/2014,
SCION FOUR MUSIC LLC,MLG,,497041046,07/08/2014,
SCION NORTH MUSIC LLC,MLG,,583616820,07/08/2014,
SCION THREE MUSIC LLC,MLG,,496828394,07/08/2014,
Scorpio Music,SC1,,9516199,16/11/2016,
SDRM (SDRM should no longer be used. Please use SACEM 058 instead),68,France,,,
Seed Point Music Publishing Ltd,SP,,716120580,30/01/2014,
Sentric Music Limited,SEN,,509030978,22/02/2012,
Sentric Music Net,SMN,,583279219,22/02/2012,
SESAC,71,USA,,,
SESAM,203,France,,,
SFF,204,Sweden,,,
SGA,205,Guinea- Bissau,,,
SGACEDOM,227,Dominican Republic,,,
SGAE,72,Spain,,,
SGDL,206,France,,,
Shapiro Bernstein & Co Limited,SBI,,467521050,04/10/2010,
Shapiro Bernstein And Co Inc,SBI,,495559103,04/10/2010,
Shapiro Bernstein Holland,SBI,,608871623,04/10/2010,
Shapiro Bernstein Scandinavia,SBI,,513170200,04/10/2010,
Shapiro Bernstein Spain,SBI,,515295456,04/10/2010,
Sharandall Music,WIX,,682837700,17/03/2015,
SHOUT PUBLISHING,HSP,,289485009,03/03/2008,
Shout! Music Publishing Uk,HSP,,664566511,04/03/2015,
SIAE,74,Italy,,,
SICAM,86,Brazil,,,
Sidem Editions,SIM,,28615189,08/04/2013,
Sidomusic B Liechti Et Cie,SID,,436491642,06/07/2010,
Sikorski Hans Musikverlag Gmbh- Co,SIK,,72592662,29/03/2012,
Silva Screen Music (Publishers) Ltd,SIL,,162084880,13/04/2017,
Sirens Music Publishing Andrea Vitz,SAV,,551943933,11/11/2010,
SLPRS,134,Sri Lanka,,,
Sm Publishing (Italy) Srl,SA,,574052259,04/01/2010,
SMALL STONE MEDIA,SSM,,529240264,03/06/2008,
Smv Schacht Musikverlage Gmbh&CoKg,SMV,,543495143,15/03/2011,
SNAC,207,France,,,
Sneakerz Muzik,SNZ,,530166878,07/10/2015,
So Essential Tunes,EMP,,774947092,18/09/2015,
Sob Audio Imaging Bv,SOB,,527186247,03/11/2015,
SOBODAYCOM,129,Bolivia,,,
SOCAN,101,Canada,,,
SOCIETE DE L’IMAGE,208,France,,,
SOCINADA,92,Cameroon Rep,,,
SOCINPRO,209,Brazil,,,
SODART,210,Canada,,,
SODRAC,20,Canada,,,
SOFAM,137,Belgium,,,
SOGEM,70,Mexico,,,
Soho Production Music,SOH,,657914114,12/01/2012,
SOKOJ,64,Yugoslavia,,,
SOMAAP,155,Mexico,,,
SOMAS,224,Mozambiqu e,,,
SONECA,83,Zaire,,,
SONGCODE,304,United States,,,
Songs For Beans,SFB,,485941510,01/11/2011,
Songs in the House of Hassle,HOH,,535181463,20/11/2013,
Songs Music Publishing (Uk) Ltd,SFB,,730887032,07/03/2014,
Songs Music Publishing Llc,SFB,,540081981,07/03/2014,
Songs Of Global Entertainment,GTP,,769330121,23/11/2015,
SONGS OF IMAGEM MUSIC,IMA,,576859189,28/06/2012,
Songs Of Mam,MAM,,503733676,23/10/20123,
SONGS OF RAZOR AND TIE,RT,,491871912,22/08/2008,
Songs Of Red Bull,RBM,,705296640,41246,
Songs Of The Blomerati,AMP,,613824363,17/12/2012,
Songtrust Ave,STM,,613926842,06/10/2011,
Songtrust Blvd,STM,,615755145,16/11/2011,
Songtrust Slalom,STM,,677336018,01/08/2012,
Sonoton Music Gmbh Co Kg,SOM,,276314560,10/04/2013,
Sony/ATV Music Publishing LLC,SA,,269021863,27/08/2003,
SOPE,211,Greece,,,
Soundgram,SGR,,644821933,21/07/2015,
Sounds Like Publishing Bv,SLP,,648549304,29/03/2012,
Sounds Like Publishing Limited,SLP,,734687704,12/03/2014,
Sovereign Citizens,SOV,,810978916,16/11/2016,
Sovereign Nation Music,SOV,,816335151,16/11/2016,
Sovereign Society,SOV,,815372346,16/11/2016,
SOZA,85,Slovakia,,,
SPA,69,Portugal,,,
SPAC,146,Panama,,,
SPACEMF,87,French Polynesia,,,
SPACQ,212,Canada,,,
Spencer Jack Music,RMW,,540064784,29/04/2010,
Spirit Music Publishing Holland,SPM,,675920806,08/10/2012,
Spirit Music Publishing Limited,SPI,,490004879,04/05/2011,
Spirit One Music,SPI,,186522259,19/04/2011,
Spirit Services Holdings S A R L,SPM,,528001195,04/09/2015,
SQN,213,Bosnia And Herzegovina,,,
SSA,91,Switzerland,,,
St Music Llc,STM,,673337823,01/08/2012,
STATE ONE MUSIC PUBLISHING,ST,,531500698,01/04/2009,
State One Musikverlag Gmbh,ST,,536305369,17/05/2010,
STEF,77,Iceland,,,
STEMRA,78,Netherlands,,,
Stiggy Music And Management Ab,STG,,435870345,20/08/2012,
STIM,79,Sweden,,,
Stock Music International,STO,,405127890,04/08/2010,
Strange Fruit Music Publishing,SFM,,574193235,23/05/2017,
Strengholt Artmedia S A,SMG,,85005297,19/11/2010,
Strengholt Music Publishing Belgium,SMG,,423846750,19/11/2010,
Strengholt Music Publishing Bv,SMG,,289590505,19/11/2010,
Strengholt Music Publishing Canada,SMG,,617829422,19/11/2010,
Strengholt Music Publishing Uk Ltd,SMG,,622056482,19/11/2010,
Strengholt Music Publishing Usa,SMG,,610719963,19/11/2010,
Strengholt Musikverlag Gmbh,SMG,,508362657,19/11/2010,
Strictly Confidential,STR,,286659605,06/07/2007,
Strictly Confidential (Germany) Gmbh,STR,,287229827,25/04/2013,
STRICTLY CONFIDENTIAL (UK) LTD,STR,,293035666,05/02/2007,
Strictly Confidential France,STR,,148563746,16/11/2016,
Strictly Confidential Suisse,STR,,457849895,08/04/2013,
Sugar House Publishing,SUH,,578532904,01/02/2016,
Sugar-Melodi Inc,SUG,,46033114,28/02/2012,
Sugarmusic,SUM,,52988936,08/04/2013,
SUISA,80,Switzerland,,,
SUISSIMAGE,75,Switzerland,,,
SUOMEN KIRJAILIJALIITTO,214,Finland,,,
Super Cassettes Industries Ltd,SCI,,439636231,05/03/2015,
T J Musicservice Gmbh,TJM,,293581731,05/02/2010,
Talpa Music Bv,TM,,490200587,30/11/2009,
TEATERAUTOR,143,Bulgaria,,,
Tenyor Music,TRN,,263286262,11/07/2011,
TEOSTO,89,Finland,,,
THE AUTHOR'S REGISTRY INC.,215,United States,,,
The Back Office,TBO,,711806859,23/03/2016,
The Bicycle Music Company,BM,,533895718,19/04/2011,
The Chief Music Publishing,TCP,,827649796,13/01/2017,
THE ENTERTAINMENT GROUP BV,TEG,,466550145,23/04/2008,
THE EXTREME MUSIC LIBRARY LTD,EXT,,500879361,01/11/2006,
The Funky Junkies Music Company Ltd,TFJ,,599505005,02/09/2014,
THE INTERNATIONAL MUSIC NETWORK LTD,IG,,162091983,07/08/2009,
The Missing Synch,TMS,,503270300,21/04/2017,
The Right People,TRP,,694738979,04/09/2014,
THE SOCIETY OF AUTHORS,216,United Kingdom,,,
These Are Songs Of Pulse,PPA,,739228421,19/05/2014,
Third Side America,TSM,,556778200,09/03/2011,
Third Side Music Inc,TSM,,487842108,06/07/2010,
Third Side Us Publishing,TSM,,556598695,09/03/2011,
ALL RECIPIENTS,ALL,,,,
TONO,90,Norway,,,
Toolroom Publishing Limited,TPL,,4590782614,28/01/2015,
Tousensemble Publishing,TEP,,811299836,05/12/2016,
Truelove Music,TLM,,179000189,18/05/2012,
Truelove Music Scandinavia,TLM,,610948650,18/05/2012,
Tunecore Digital Music,TUN,,642005099,22/06/2011,
Two One Five Music,TOF,,349784115,17/03/2005,
UACRR,140,Ukraine,,,
UBC,93,Brazil,,,
UCMR-ADA,115,Romania,,,
UCOSO,234,Uganda,,,
UFFICIO LEGALE,217,Holy See (Vatican City State),,,
Ultra Empire Music,ULT,,425536365,19/04/2011,
Ultra Tunes,UT,,532002022,16/09/2009,
Unimusica Inc.,UM,,125049989,,30/03/2001
"Universal - Musica Unica, Inc. ",UN,,353559739,30/03/2001,10/02/2006
"Universal - PolyGram Int. Publ., Inc. ",PG,,343892736,30/03/2001,10/02/2006
Universal Music Corp.,MU,,31312147,30/03/2001,10/02/2006
Universal Music Publishing,UN,,31312147,27/10/1999,
UNIVERSAL MUSIC PUBLISHING INTERNATIONAL LTD,MG,,282431573,31/08/2007,
Universal Music Publishing Ricordi Srl,UN,,547691219,04/01/2010,
"Universal Musica, Inc. ",UM,,344554265,30/03/2001,
Universal Muzik Taksim Edisyon AS,UMT,,581490534,06/07/2010,
UPRIGHT MUSIC APS,UPR,,285637331,08/07/2016,
VAGA,156,USA,,,
Van Mccoy Music Inc,VAN,,79613056,13/10/2015,
Vander Music Inc,VM,,85730363,31/08/2003,
VBK,157,Austria,,,
VDFS,121,Austria,,,
VEGAP,158,Spain,,,
Velocity Future Collections,VFC,,709032074,04/07/2016,
Velvet Apple Music,VAM,,1219936,04/02/2015,
VEVAM,218,Netherlands,,,
VG WORT,95,German,,,
VISCOPY,159,Australia,,,
W B MUSIC CORP,WB,,58855632,22/04/2002,
Walt Disney Music (Usa) Co,WD,,219803468,19/04/2011,
Want A Fresh One Music,BRE,,538838017,18/03/2013,
Wardlaw Banks Ltd,WBX,,497889753,21/12/2010,
Warner Bros Music,WB,,76448253,21/07/2000,
Warner Chappell Music It Na S R L,WB,,221851397,04/01/2010,
Warner/Chappell Music Publishing Limited,WB,,285606836,19/08/2013,
Warp Music Limited,WAR,,507787326,26/02/2009,
Waves Of Pacifica Music,PAC,,594085322,28/10/2009,
WEST ONE MUSIC LIMITED,WOM,,428434750,03/07/2009,
WESTBURY MUSIC LTD,WML,,144443097,02/08/2006,
WGA,219,United States,,,
WGJ,220,Japan,,,
WID CENTRE,300,United States,,,
Windswept Pacific,WP,,353570366,,
Wintrup Musikverlage Walter Holzbaur,WIN,,76454163,29/02/2012,
"Wixen Music Publishing, Inc. ",WIX,,229993322,17/03/2015,
Wixen Music Uk Ltd,WIX,,624590643,17/03/2015,
Words And Music Uk,WAM,,757971682,24/03/2015,
Words And Music Worldwide,WAM,,794339005,07/06/2017,
Works Of Wonderlous,WND,,646052652,23/04/2014,
Yell Music Limited,YL,,4481201291,28/01/2015,
ZAIKS,97,Poland,,,
ZAMCOPS,133,Zambia,,,
ZAMP,136,Macedonia,,,
ZAMP,221,Slovenia,,,
ZAPA,222,Poland,,,
Zavitson Music,MPW,,452659536,22/04/2014,
ZIMRA,98,Zimbabwe,,,
Zmp Nordic,ZMP,,647283033,05/04/2013,
Zodiak Music Publishing,ZMP,,638402157,05/04/2013,
Zomba Music Publishing,ZB,,58336956,,
Zyx Uk Publishing Limited,ZYX,,673827312,20/12/2013,
