Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
Bug Music B V,BL,,204488674,09/02/2009,
BUG MUSIC BENELUX B.V.,BL,,571724052,09/02/2009,
BUG MUSIC BENELUX TQ,BL,,571724150,09/02/2009,
BUG MUSIC BENELUX WINDSWEPT,BL,,572102286,09/02/2009,
BUG MUSIC LIMITED,BL,,176871136,17/02/2003,
"BUG MUSIC, INC. ",BU,,36210128,17/08/1999,
BUMA,23,Netherlands,,,
BUMDA,16,Mali,,,
BURAFO,177,Netherlands,,,
BURIDA,24,Ivory Coast,,,
BUS,152,Sweden,,,
Business Nieuws Holding Bv,BNH,,637426829,03/11/2015,
BUTODRA,130,Togo,,,
C2w Music Ltd,CWW,,698695161,12/04/2013,
Cafe' Concerto International S,CIN,,583260740,27/01/2017,
Cafe' Concerto Italia Ed Mus,CIT,,423433979,27/01/2017,
Cafe Concerto S R L,CAF,,184962039,22/04/2010,
CAL,178,Australia,,,
Cam Cine TV Music Inc,CC,,52018026,09/12/1999,
Campbell Connelly Holland Bv,CCH,,271288359,24/02/2015,
Candid Music Publishing Limited,CAN,,473087148,28/03/2011,
CAPAC,27,Canada,,,
Care Bears Music,RMW,,201708118,19/04/2011,
Carlin Music Corp,CAR,,5223240,24/09/2013,
Carthage Music Limited,CTH,,416253970,03/05/2017,
Casablanca Media Publishing Inc,CMP,,296767105,18/03/2005,
CASH,26,Hong Kong,,,
Cavendish-Music-Co-Ltd,CAV,,5637400,16/02/2017,
CCL,306,Trinidad And Tobago,,,
Ccs Rights Management Corp I,CCS,,662121476,12/07/2012,
Ceg Rights B.V.,CEG,,705206186,25/02/2014,
Ceg Rights Usa,AAL,,711581465,17/12/2013,
Centricity Music Publishing,CEN,,468824412,11/10/2012,
Centricity Songs,CEN,,532282865,15/11/2012,
Cezame Music Uk Limited,CEZ,,659512324,01/06/2015,
CHA,108,Taiwan,,,
Cherry Lane,CH,,6014735,29/09/1999,
Chrysalis Music,CHR,,128481959,19/04/2011,
CHRYSALIS MUSIC LTD,CHR,,39991729,11/11/2004,
Chrysalis One Music,CHO,,615824351,19/04/2011,
Chrysalis One Publishing Uk Ltd,CHO,,616432171,06/09/2010,
Chrysalis One Sweden,CHO,,616928132,06/09/2010,
CHRYSALIS SONGS BENELUX,CHR,,590664327,10/12/2009,
Cloud 9 Holland Music Publishing,CL9,,466551142,17/02/2015,
CMRRA,88,Canada,,,
CODISCOS S A,CDC,,478650219,26/04/2010,
COLLECT MUSIC PUBLISHERS BV,COL,,483715826,17/04/2007,
