Name,Code,Definition
Commercial / Jingle / Trailer,COM,"A short piece of music created for an advertisement, to introduce a programme, or to act as punctuation."
Film,FIL,A work originally composed for use in a film production.
General Usage,GEN,A work originally composed for general usage
Library Work,LIB,A work recorded for use primarily in audio-visual productions or broadcasts.
Multimedia,MUL,"A work originally composed for use within a multimedia production not intended for broadcast. Examples: CDI, CD-ROM."
Radio,RAD,A work specifically created for use in a radio production.
Television,TEL,A work specifically created for use in a television production.
Theatre,THR,A work specifically created for use in a theatrical production.
Video,VID,A work specifically created for use in a video production.
