Name,Code,Definition
Jazz,JAZ,"Music originating in black America from the early 20th century, incorporating strands of Euro- American and African music and frequently containing improvisation. For the use of certain societies only. Societies who do not need “Jazz” for distribution purposes should use the code “Pop” instead."
Popular,POP,"The musical mainstream, usually song-based and melody-orientated, created for mass consumption."
Serious,SER,Classical or art music.
Unclassified Distribution Category,UNC,The catch-all for societies who do not track genres; all works are paid the same regardless of genre.
