Name,Code,Definition
Mechanical Right,MEC,"The right to record, reproduce and distribute a work on a carrier (CDs, MCs, Films, CD-ROM, etc.)"
Performing Right,PER,"The entitlement to perform musical, literary or dramatic works live or by mechanical means or to recite literary works"
Synchronisation Right,SYN,"The right to include and combine a work either completely or in parts in timed relation with works of other categories for the creation of an audiovisual, multimedia work or a database"
