Name,Code,Definition
New,NEW,New music added to existing music
Arrangement,ARR,A version of a work in which musical elements have been modified
Addition,ADM,Music added to a pre-existing text
Unspecified arrangement,UNS,"To be used when it is known the work is an arrangement, but no further details are available"
Original,ORI,Music used in its original form
