Name,Code,Definition
ASCAP,A,"When this work is performed in the USA, ASCAP has the right to collect."
BMI,B,"When this work is performed in the USA, BMI has the right to collect."
SESAC,S,"When this work is performed in the USA, SESAC has the right to collect."
AMRA,M,"When this work is performed in the USA, AMRA has the right to collect."
GMR,G,"When this work is performed in the USA, GMR has the right to collect."
