Name,Code,Definition
Direct Licensing,DL,Instructions for Direct Licensing
Share Change,SC,"Writer added/deleted, share increase or decreased"
Different Work,DW,This is not the same work as XXX
Inquiry List,IQ,Work contained in Inquiry List of society
Requested Work,RQ,Work for which a notification was requested by society
GEMA,GW,Structured note for shares agreed by authors for performing rights
SACEM,EW,The Sacem submitter is controlling the entire work
