Name,Code,Definition
Original Specific,OS,Agreement between the songwriter and original publisher covering a list of specific work(s)
Sub-publishing Specific,PS,Agreement between two publishers covering a list of specific work(s)
Sub-publishing General,PG,Agreement between two publishers covering all works in a catalogue
Original General,OG,Agreement between the songwriter and original publisher covering all works in a catalogue
