"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric TIS-code of territory","Extended alphanumeric TIS-code of territory","Validity end date of territory name code"
250,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","FRA",3999/12/31 00:00:00
258,1000/01/01 00:00:00,1000/01/01 00:00:00,"PF","PYF",3999/12/31 00:00:00
262,1000/01/01 00:00:00,1000/01/01 00:00:00,"DJ","DJI",3999/12/31 00:00:00
266,1000/01/01 00:00:00,1000/01/01 00:00:00,"GA","GAB",3999/12/31 00:00:00
268,1992/01/01 00:00:00,1992/01/01 00:00:00,"GE","GEO",3999/12/31 00:00:00
270,1000/01/01 00:00:00,1000/01/01 00:00:00,"GM","GMB",3999/12/31 00:00:00
276,1990/10/03 00:00:00,1990/10/03 00:00:00,"DE","DEU",3999/12/31 00:00:00
278,1000/01/01 00:00:00,1000/01/01 00:00:00,"DD","DDR",1990/10/02 00:00:00
280,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","DEU",1990/10/02 00:00:00
288,1000/01/01 00:00:00,1000/01/01 00:00:00,"GH","GHA",3999/12/31 00:00:00
296,1000/01/01 00:00:00,1000/01/01 00:00:00,"KI","KIR",3999/12/31 00:00:00
300,1000/01/01 00:00:00,1000/01/01 00:00:00,"GR","GRC",3999/12/31 00:00:00
308,1000/01/01 00:00:00,1000/01/01 00:00:00,"GD","GRD",3999/12/31 00:00:00
320,1000/01/01 00:00:00,1000/01/01 00:00:00,"GT","GTM",3999/12/31 00:00:00
324,1000/01/01 00:00:00,1000/01/01 00:00:00,"GN","GIN",3999/12/31 00:00:00
328,1000/01/01 00:00:00,1000/01/01 00:00:00,"GY","GUY",3999/12/31 00:00:00
332,1000/01/01 00:00:00,1000/01/01 00:00:00,"HT","HTI",3999/12/31 00:00:00
336,1000/01/01 00:00:00,1000/01/01 00:00:00,"VA","VAT",3999/12/31 00:00:00
340,1000/01/01 00:00:00,1000/01/01 00:00:00,"HN","HND",3999/12/31 00:00:00
344,1000/01/01 00:00:00,1000/01/01 00:00:00,"HK","HKG",3999/12/31 00:00:00
348,1000/01/01 00:00:00,1000/01/01 00:00:00,"HU","HUN",3999/12/31 00:00:00
352,1000/01/01 00:00:00,1000/01/01 00:00:00,"IS","ISL",3999/12/31 00:00:00
356,1000/01/01 00:00:00,1000/01/01 00:00:00,"IN","IND",3999/12/31 00:00:00
360,1000/01/01 00:00:00,1000/01/01 00:00:00,"ID","IDN",3999/12/31 00:00:00
364,1000/01/01 00:00:00,1000/01/01 00:00:00,"IR","IRN",3999/12/31 00:00:00
368,1000/01/01 00:00:00,1000/01/01 00:00:00,"IQ","IRQ",3999/12/31 00:00:00
372,1000/01/01 00:00:00,1000/01/01 00:00:00,"IE","IRL",3999/12/31 00:00:00
376,1000/01/01 00:00:00,1000/01/01 00:00:00,"IL","ISR",3999/12/31 00:00:00
380,1000/01/01 00:00:00,1000/01/01 00:00:00,"IT","ITA",3999/12/31 00:00:00
384,1000/01/01 00:00:00,1000/01/01 00:00:00,"CI","CIV",3999/12/31 00:00:00
388,1000/01/01 00:00:00,1000/01/01 00:00:00,"JM","JAM",3999/12/31 00:00:00
392,1000/01/01 00:00:00,1000/01/01 00:00:00,"JP","JPN",3999/12/31 00:00:00
398,1992/01/01 00:00:00,1992/01/01 00:00:00,"KZ","KAZ",3999/12/31 00:00:00
400,1000/01/01 00:00:00,1000/01/01 00:00:00,"JO","JOR",3999/12/31 00:00:00
404,1000/01/01 00:00:00,1000/01/01 00:00:00,"KE","KEN",3999/12/31 00:00:00
408,1000/01/01 00:00:00,1000/01/01 00:00:00,"KP","PRK",3999/12/31 00:00:00
410,1000/01/01 00:00:00,1000/01/01 00:00:00,"KR","KOR",3999/12/31 00:00:00
414,1000/01/01 00:00:00,1000/01/01 00:00:00,"KW","KWT",3999/12/31 00:00:00
417,1992/01/01 00:00:00,1992/01/01 00:00:00,"KG","KGZ",3999/12/31 00:00:00
418,1000/01/01 00:00:00,1000/01/01 00:00:00,"LA","LAO",3999/12/31 00:00:00
422,1000/01/01 00:00:00,1000/01/01 00:00:00,"LB","LBN",3999/12/31 00:00:00
426,1000/01/01 00:00:00,1000/01/01 00:00:00,"LS","LSO",3999/12/31 00:00:00
428,1992/01/01 00:00:00,1992/01/01 00:00:00,"LV","LVA",3999/12/31 00:00:00
430,1000/01/01 00:00:00,1000/01/01 00:00:00,"LR","LBR",3999/12/31 00:00:00
434,1000/01/01 00:00:00,1000/01/01 00:00:00,"LY","LBY",3999/12/31 00:00:00
438,1000/01/01 00:00:00,1000/01/01 00:00:00,"LI","LIE",3999/12/31 00:00:00
440,1992/01/01 00:00:00,1992/01/01 00:00:00,"LT","LTU",3999/12/31 00:00:00
442,1000/01/01 00:00:00,1000/01/01 00:00:00,"LU","LUX",3999/12/31 00:00:00
446,1999/12/20 00:00:00,1999/12/20 00:00:00,"MO","MAC",3999/12/31 00:00:00
450,1000/01/01 00:00:00,1000/01/01 00:00:00,"MG","MDG",3999/12/31 00:00:00
454,1000/01/01 00:00:00,1000/01/01 00:00:00,"MW","MWI",3999/12/31 00:00:00
458,1000/01/01 00:00:00,1000/01/01 00:00:00,"MY","MYS",3999/12/31 00:00:00
462,1000/01/01 00:00:00,1000/01/01 00:00:00,"MV","MDV",3999/12/31 00:00:00
466,1000/01/01 00:00:00,1000/01/01 00:00:00,"ML","MLI",3999/12/31 00:00:00
470,1000/01/01 00:00:00,1000/01/01 00:00:00,"MT","MLT",3999/12/31 00:00:00
478,1000/01/01 00:00:00,1000/01/01 00:00:00,"MR","MRT",3999/12/31 00:00:00
480,1000/01/01 00:00:00,1000/01/01 00:00:00,"MU","MUS",3999/12/31 00:00:00
484,1000/01/01 00:00:00,1000/01/01 00:00:00,"MX","MEX",3999/12/31 00:00:00
492,1000/01/01 00:00:00,1000/01/01 00:00:00,"MC","MCO",3999/12/31 00:00:00
496,1000/01/01 00:00:00,1000/01/01 00:00:00,"MN","MNG",3999/12/31 00:00:00
498,1992/01/01 00:00:00,1992/01/01 00:00:00,"MD","MDA",3999/12/31 00:00:00
499,2006/06/03 00:00:00,2006/06/03 00:00:00,"ME","MNE",3999/12/31 00:00:00
504,1000/01/01 00:00:00,1000/01/01 00:00:00,"MA","MAR",3999/12/31 00:00:00
508,1000/01/01 00:00:00,1000/01/01 00:00:00,"MZ","MOZ",3999/12/31 00:00:00
512,1000/01/01 00:00:00,1000/01/01 00:00:00,"OM","OMN",3999/12/31 00:00:00
516,1000/01/01 00:00:00,1000/01/01 00:00:00,"NA","NAM",3999/12/31 00:00:00
520,1000/01/01 00:00:00,1000/01/01 00:00:00,"NR","NRU",3999/12/31 00:00:00
524,1000/01/01 00:00:00,1000/01/01 00:00:00,"NP","NPL",3999/12/31 00:00:00
528,1000/01/01 00:00:00,1000/01/01 00:00:00,"NL","NLD",3999/12/31 00:00:00
540,1000/01/01 00:00:00,1000/01/01 00:00:00,"NC","NCL",3999/12/31 00:00:00
548,1000/01/01 00:00:00,1000/01/01 00:00:00,"VU","VUT",3999/12/31 00:00:00
554,1000/01/01 00:00:00,1000/01/01 00:00:00,"NZ","NZL",3999/12/31 00:00:00
558,1000/01/01 00:00:00,1000/01/01 00:00:00,"NI","NIC",3999/12/31 00:00:00
562,1000/01/01 00:00:00,1000/01/01 00:00:00,"NE","NER",3999/12/31 00:00:00
566,1000/01/01 00:00:00,1000/01/01 00:00:00,"NG","NGA",3999/12/31 00:00:00
578,1000/01/01 00:00:00,1000/01/01 00:00:00,"NO","NOR",3999/12/31 00:00:00
583,1000/01/01 00:00:00,1000/01/01 00:00:00,"FM","FSM",3999/12/31 00:00:00
584,1000/01/01 00:00:00,1000/01/01 00:00:00,"MH","MHL",3999/12/31 00:00:00
