"Numeric TIS-code of territory","Validity start date of territory","Validity start date of territory name code","Alphanumeric ISO-code of language","Territory name","Official territory name","Abbreviated territory name","Unofficial territory name"
44,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BAHAMAS","COMMONWEALTH OF THE BAHAMAS","BAHAMAS",
44,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BAHAMAS","COMMONWEALTH DE LAS BAHAMAS","BAHAMAS",
44,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BAHAMAS","COMMONWEALTH DES BAHAMAS","BAHAMAS",
48,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BAHRAIN","KOENIGREICH BAHRAIN","BAHRAIN",
48,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BAHRAIN","KINGDOM OF BAHRAIN","BAHRAIN",
48,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BAHREIN","REINO DE BAHREIN","BAHREIN",
48,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BAHREIN","ROYAUME DE BAHREIN","BAHREIN",
50,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BANGLADESCH","VOLKSREPUBLIK BANGLADESCH","BANGLADESCH",
50,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BANGLADESH","PEOPLE'S REPUBLIC OF BANGLADESH","BANGLADESH",
50,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BANGLADESH","REPUBLICA DEL PUEBLO DE BANGLADESH","BANGLADESH",
50,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BANGLADESH","REPUBLIQUE POPULAIRE DU BANGLADESH","BANGLADESH",
51,1992/01/01 00:00:00,1992/01/01 00:00:00,"DE","ARMENIEN","REPUBLIK ARMENIEN","ARMENIEN",
51,1992/01/01 00:00:00,1992/01/01 00:00:00,"EN","ARMENIA","REPUBLIC OF ARMENIA","ARMENIA",
51,1992/01/01 00:00:00,1992/01/01 00:00:00,"ES","ARMENIA","REPUBLICA DE ARMENIA","ARMENIA",
51,1992/01/01 00:00:00,1992/01/01 00:00:00,"FR","ARMENIE","REPUBLIQUE D'ARMENIE","ARMENIE",
52,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BARBADOS",,"BARBADOS",
52,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BARBADOS",,"BARBADOS",
52,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BARBADOS",,"BARBADOS",
52,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BARBADE",,"BARBADE",
56,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BELGIEN","KOENIGREICH BELGIEN","BELGIEN",
56,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BELGIUM","KINGDOM OF BELGIUM","BELGIUM",
56,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BELGICA","REINO DE BELGICA","BELGICA",
56,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BELGIQUE","ROYAUME DE BELGIQUE","BELGIQUE",
64,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BHUTAN","KOENIGREICH BHUTAN","BHUTAN",
64,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BHUTAN","KINGDOM OF BHUTAN","BHUTAN",
64,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BHUTAN","REINO DE BHUTAN","BHUTAN",
64,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BHOUTAN","ROYAUME DE BHOUTAN","BHOUTAN",
68,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BOLIVIEN","PLURINATIONALER STAAT BOLIVIEN","BOLIVIEN",
68,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BOLIVIA","PLURINATIONAL STATE OF BOLIVIA","BOLIVIA",
68,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BOLIVIA","ESTADO PLURINACIONAL DE BOLIVIA","BOLIVIA",
68,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BOLIVIE","ETAT PLURINATIONAL DE BOLIVIE","BOLIVIE",
70,1992/01/01 00:00:00,1992/01/01 00:00:00,"DE","BOSNIEN UND HERZEGOWINA",,"BOSNIEN+HERZEG.",
70,1992/01/01 00:00:00,1992/01/01 00:00:00,"EN","BOSNIA AND HERZEGOVINA",,"BOSNIA+HERZEGO.",
70,1992/01/01 00:00:00,1992/01/01 00:00:00,"ES","BOSNIA Y HERZEGOVINA",,"BOSNIA+HERZEGO.",
70,1992/01/01 00:00:00,1992/01/01 00:00:00,"FR","BOSNIE-HERZEGOVINE",,"BOSNIE-HERZEGO.",
72,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BOTSUANA","REPUBLIK BOTSUANA","BOTSUANA",
72,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BOTSWANA","REPUBLIC OF BOTSWANA","BOTSWANA",
72,1000/01/01 00:00:00,1000/01/01 00:00:00,"ES","BOTSWANA","REPUBLICA DE BOTSWANA","BOTSWANA",
72,1000/01/01 00:00:00,1000/01/01 00:00:00,"FR","BOTSWANA","REPUBLIQUE DU BOTSWANA","BOTSWANA",
76,1000/01/01 00:00:00,1000/01/01 00:00:00,"DE","BRASILIEN","FOEDERATIVE REPUBLIK BRASILIEN","BRASILIEN",
76,1000/01/01 00:00:00,1000/01/01 00:00:00,"EN","BRAZIL","FEDERATIVE REPUBLIC OF BRAZIL","BRAZIL",
