"Numeric TIS-code of territory","Validity start date of territory","Validity end date of territory","Usability indicator of territory","Remarks on territory","Territory type"
352,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
356,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
360,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
364,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
368,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
372,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
376,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
380,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
384,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
388,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
392,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
398,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
400,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
404,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
408,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
410,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
414,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
417,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
418,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
422,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
426,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
428,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
430,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
434,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
438,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
440,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
442,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
446,1999/12/20 00:00:00,3999/12/31 00:00:00,1,,"country"
450,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
454,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
458,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
462,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
466,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
470,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
478,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
480,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
484,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
492,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
496,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
498,1992/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
499,2006/06/03 00:00:00,3999/12/31 00:00:00,1,,"country"
504,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
508,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
512,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
516,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
520,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
524,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
528,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
540,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
548,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
554,1000/01/01 00:00:00,3999/12/31 00:00:00,1,,"country"
